VALMIR_at_2x10CON_[V]	Vdiff_at_ADS1256_[V]	R2_[Ohm]	Temp_[°C]
0.671	0.895	2724.385	6293.142
0.675	0.900	2703.694	6299.293
0.679	0.905	2683.232	6305.364
0.683	0.910	2662.995	6311.355
0.686	0.915	2642.978	6317.269
0.690	0.920	2623.179	6323.107
0.694	0.925	2603.595	6328.870
0.698	0.930	2584.220	6334.560
0.701	0.935	2565.053	6340.179
0.705	0.940	2546.090	6345.727
0.709	0.945	2527.328	6351.206
0.713	0.950	2508.763	6356.618
0.716	0.955	2490.393	6361.963
0.720	0.960	2472.214	6367.244
0.724	0.965	2454.223	6372.460
0.728	0.970	2436.418	6377.614
0.731	0.975	2418.795	6382.706
0.735	0.980	2401.352	6387.737
0.739	0.985	2384.086	6392.710
0.743	0.990	2366.995	6397.624
0.746	0.995	2350.075	6402.480
0.750	1.000	2333.325	6407.281
0.754	1.005	2316.741	6412.026
0.758	1.010	2300.322	6416.717
0.761	1.015	2284.064	6421.354
0.765	1.020	2267.966	6425.940
0.769	1.025	2252.024	6430.473
0.773	1.030	2236.238	6434.956
0.776	1.035	2220.604	6439.389
0.780	1.040	2205.120	6443.773
0.784	1.045	2189.785	6448.109
0.788	1.050	2174.595	6452.398
0.791	1.055	2159.550	6456.640
0.795	1.060	2144.646	6460.837
0.799	1.065	2129.883	6464.988
0.803	1.070	2115.257	6469.095
0.806	1.075	2100.767	6473.158
0.810	1.080	2086.412	6477.179
0.814	1.085	2072.189	6481.157
0.818	1.090	2058.096	6485.094
0.821	1.095	2044.132	6488.990
0.825	1.100	2030.295	6492.846
0.829	1.105	2016.584	6496.662
0.833	1.110	2002.995	6500.439
0.836	1.115	1989.529	6504.178
0.840	1.120	1976.183	6507.878
0.844	1.125	1962.956	6511.542
0.848	1.130	1949.845	6515.169
0.851	1.135	1936.850	6518.760
0.855	1.140	1923.969	6522.316
0.859	1.145	1911.201	6525.836
0.863	1.150	1898.543	6529.322
0.866	1.155	1885.996	6532.774
0.870	1.160	1873.556	6536.192
0.874	1.165	1861.223	6539.577
0.878	1.170	1848.996	6542.930
0.881	1.175	1836.872	6546.251
0.885	1.180	1824.852	6549.540
0.889	1.185	1812.932	6552.799
0.893	1.190	1801.113	6556.026
0.896	1.195	1789.393	6559.223
0.900	1.200	1777.771	6562.391
0.904	1.205	1766.245	6565.529
0.908	1.210	1754.814	198.981
0.911	1.215	1743.477	195.901
0.915	1.220	1732.234	192.849
0.919	1.225	1721.082	189.824
0.923	1.230	1710.020	186.827
0.926	1.235	1699.049	183.857
0.930	1.240	1688.165	180.914
0.934	1.245	1677.369	177.997
0.938	1.250	1666.660	175.106
0.941	1.255	1656.036	172.241
0.945	1.260	1645.496	169.401
0.949	1.265	1635.040	166.585
0.953	1.270	1624.665	163.795
0.956	1.275	1614.373	161.028
0.960	1.280	1604.160	158.286
0.964	1.285	1594.027	155.567
0.968	1.290	1583.973	152.872
0.971	1.295	1573.996	150.199
0.975	1.300	1564.096	147.550
0.979	1.305	1554.272	144.923
0.983	1.310	1544.523	142.318
0.986	1.315	1534.848	139.734
0.990	1.320	1525.246	137.173
0.994	1.325	1515.717	134.633
0.998	1.330	1506.259	132.113
1.001	1.335	1496.873	129.615
1.005	1.340	1487.556	127.137
1.009	1.345	1478.309	124.680
1.013	1.350	1469.130	122.242
1.016	1.355	1460.018	119.825
1.020	1.360	1450.974	117.426
1.024	1.365	1441.996	115.047
1.028	1.370	1433.084	112.688
1.031	1.375	1424.236	110.347
1.035	1.380	1415.453	108.024
1.039	1.385	1406.733	105.721
1.043	1.390	1398.076	103.435
1.046	1.395	1389.480	101.167
1.050	1.400	1380.946	98.917
1.054	1.405	1372.473	96.684
1.058	1.410	1364.060	94.469
1.061	1.415	1355.707	92.271
1.065	1.420	1347.412	90.090
1.069	1.425	1339.175	87.926
1.073	1.430	1330.997	85.778
1.076	1.435	1322.875	83.646
1.080	1.440	1314.809	81.531
1.084	1.445	1306.799	79.432
1.088	1.450	1298.845	77.348
1.091	1.455	1290.945	75.280
1.095	1.460	1283.099	73.228
1.099	1.465	1275.307	71.191
1.103	1.470	1267.568	69.168
1.106	1.475	1259.881	67.161
1.110	1.480	1252.247	65.169
1.114	1.485	1244.663	63.191
1.118	1.490	1237.131	61.228
1.121	1.495	1229.649	59.278
1.125	1.500	1222.217	57.344
1.129	1.505	1214.834	55.423
1.133	1.510	1207.500	53.515
1.136	1.515	1200.215	51.622
1.140	1.520	1192.977	49.742
1.144	1.525	1185.787	47.875
1.148	1.530	1178.644	46.022
1.151	1.535	1171.547	44.181
1.155	1.540	1164.497	42.354
1.159	1.545	1157.492	40.540
1.163	1.550	1150.532	38.738
1.166	1.555	1143.617	36.948
1.170	1.560	1136.747	35.172
1.174	1.565	1129.920	33.407
1.178	1.570	1123.137	31.655
1.181	1.575	1116.397	29.914
1.185	1.580	1109.699	28.186
1.189	1.585	1103.044	26.469
1.193	1.590	1096.431	24.764
1.196	1.595	1089.859	23.070
1.200	1.600	1083.328	21.388
1.204	1.605	1076.838	19.718
1.208	1.610	1070.388	18.058
1.211	1.615	1063.978	16.410
1.215	1.620	1057.608	14.772
1.219	1.625	1051.277	13.146
1.223	1.630	1044.985	11.530
1.226	1.635	1038.731	9.924
1.230	1.640	1032.515	8.330
1.234	1.645	1026.337	6.746
1.238	1.650	1020.197	5.172
1.241	1.655	1014.094	3.608
1.245	1.660	1008.027	2.054
1.249	1.665	1001.997	0.511
1.253	1.670	996.003	-1.023
1.256	1.675	990.045	-2.546
1.260	1.680	984.122	-4.060
1.264	1.685	978.234	-5.564
1.268	1.690	972.382	-7.059
1.271	1.695	966.563	-8.544
1.275	1.700	960.779	-10.020
1.279	1.705	955.029	-11.487
1.283	1.710	949.313	-12.944
1.286	1.715	943.630	-14.393
1.290	1.720	937.980	-15.832
1.294	1.725	932.362	-17.262
1.298	1.730	926.777	-18.684
1.301	1.735	921.225	-20.096
1.305	1.740	915.704	-21.500
1.309	1.745	910.215	-22.895
1.313	1.750	904.757	-24.282
1.316	1.755	899.330	-25.661
1.320	1.760	893.935	-27.031
1.324	1.765	888.569	-28.392
1.328	1.770	883.234	-29.746
1.331	1.775	877.930	-31.091
1.335	1.780	872.654	-32.428
1.339	1.785	867.409	-33.757
1.343	1.790	862.193	-35.078
1.346	1.795	857.006	-36.392
1.350	1.800	851.847	-37.697
1.354	1.805	846.717	-38.995
1.358	1.810	841.616	-40.285
1.361	1.815	836.543	-41.568
1.365	1.820	831.497	-42.843
1.369	1.825	826.479	-44.110
1.373	1.830	821.489	-45.371
1.376	1.835	816.526	-46.624
1.380	1.840	811.590	-47.869
1.384	1.845	806.680	-49.108
1.388	1.850	801.797	-50.339
1.391	1.855	796.941	-51.563
1.395	1.860	792.110	-52.780
1.399	1.865	787.306	-53.990
1.403	1.870	782.527	-55.194
1.406	1.875	777.773	-56.390
1.410	1.880	773.045	-57.580
1.414	1.885	768.342	-58.763
1.418	1.890	763.664	-59.939
1.421	1.895	759.011	-61.109
1.425	1.900	754.382	-62.272
1.429	1.905	749.777	-63.429
1.433	1.910	745.196	-64.579
1.436	1.915	740.640	-65.723
1.440	1.920	736.107	-66.861
1.444	1.925	731.597	-67.992
1.448	1.930	727.111	-69.117
1.451	1.935	722.649	-70.236
1.455	1.940	718.209	-71.349
1.459	1.945	713.792	-72.455
1.463	1.950	709.397	-73.556
1.466	1.955	705.026	-74.650
1.470	1.960	700.676	-75.739
1.474	1.965	696.349	-76.822
1.478	1.970	692.043	-77.899
1.481	1.975	687.759	-78.970
1.485	1.980	683.497	-80.036
1.489	1.985	679.257	-81.095
1.493	1.990	675.038	-82.150
1.496	1.995	670.840	-83.198
1.500	2.000	666.663	-84.241
1.504	2.005	662.506	-85.278
1.508	2.010	658.371	-86.310
1.511	2.015	654.256	-87.337
1.515	2.020	650.161	-88.358
1.519	2.025	646.086	-89.374
1.523	2.030	642.032	-90.385
1.526	2.035	637.998	-91.390
1.530	2.040	633.983	-92.390
1.534	2.045	629.988	-93.385
1.538	2.050	626.012	-94.375
1.541	2.055	622.056	-95.359
1.545	2.060	618.119	-96.339
1.549	2.065	614.201	-97.313
1.553	2.070	610.302	-98.283
1.556	2.075	606.422	-99.248
1.560	2.080	602.560	-100.207
1.564	2.085	598.717	-101.162
1.568	2.090	594.892	-102.112
1.571	2.095	591.086	-103.058
1.575	2.100	587.298	-103.998
1.579	2.105	583.527	-104.934
1.583	2.110	579.775	-105.865
1.586	2.115	576.040	-106.792
1.590	2.120	572.323	-107.713
1.594	2.125	568.624	-108.631
1.598	2.130	564.941	-109.543
1.601	2.135	561.276	-110.452
1.605	2.140	557.629	-111.355
1.609	2.145	553.998	-112.255
1.613	2.150	550.384	-113.150
1.616	2.155	546.787	-114.040
1.620	2.160	543.206	-114.926
1.624	2.165	539.642	-115.808
1.628	2.170	536.094	-116.686
1.631	2.175	532.563	-117.559
1.635	2.180	529.048	-118.428
1.639	2.185	525.549	-119.293
1.643	2.190	522.066	-120.154
1.646	2.195	518.599	-121.010
1.650	2.200	515.148	-121.863
1.654	2.205	511.712	-122.711
1.658	2.210	508.292	-123.556
1.661	2.215	504.887	-124.396
1.665	2.220	501.498	-125.232
1.669	2.225	498.124	-126.065
1.673	2.230	494.765	-126.893
1.676	2.235	491.421	-127.718
1.680	2.240	488.092	-128.538
1.684	2.245	484.777	-129.355
1.688	2.250	481.478	-130.168
1.691	2.255	478.193	-130.978
1.695	2.260	474.923	-131.783
1.699	2.265	471.667	-132.585
1.703	2.270	468.425	-133.383
1.706	2.275	465.198	-134.177
1.710	2.280	461.985	-134.968
1.714	2.285	458.786	-135.755
1.718	2.290	455.600	-136.538
1.721	2.295	452.429	-137.318
1.725	2.300	449.272	-138.095
1.729	2.305	446.128	-138.867
1.733	2.310	442.998	-139.637
1.736	2.315	439.881	-140.402
1.740	2.320	436.778	-141.165
1.744	2.325	433.688	-141.924
1.748	2.330	430.612	-142.679
1.751	2.335	427.548	-143.431
1.755	2.340	424.498	-144.180
1.759	2.345	421.461	-144.925
1.763	2.350	418.436	-145.667
1.766	2.355	415.425	-146.406
1.770	2.360	412.426	-147.141
1.774	2.365	409.440	-147.873
1.778	2.370	406.466	-148.602
1.781	2.375	403.505	-149.328
1.785	2.380	400.557	-150.050
1.789	2.385	397.621	-150.769
1.793	2.390	394.697	-151.486
1.796	2.395	391.785	-152.199
1.800	2.400	388.885	-152.908
1.804	2.405	385.998	-153.615
1.808	2.410	383.122	-154.319
1.811	2.415	380.259	-155.020
1.815	2.420	377.407	-155.717
1.819	2.425	374.567	-156.412
1.823	2.430	371.739	-157.104
1.826	2.435	368.922	-157.792
1.830	2.440	366.117	-158.478
1.834	2.445	363.323	-159.161
1.838	2.450	360.541	-159.841
1.841	2.455	357.770	-160.517
1.845	2.460	355.010	-161.192
1.849	2.465	352.262	-161.863
1.853	2.470	349.524	-162.531
1.856	2.475	346.798	-163.197
1.860	2.480	344.083	-163.859
1.864	2.485	341.378	-164.519
1.868	2.490	338.685	-165.176
1.871	2.495	336.002	-165.831
